"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT11"
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-03",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-04",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-05",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-13",,,,,"22.9",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-14",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-26",,,,,"7.1",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-27",,,,,"1.0",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-28",,,,,"21.6",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-29",,,,,"6.6",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-30",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-01-31",,,,,"1.0",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-02-01",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-02-02",,,,,"3.8",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-02-03",,,,,"1.5","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-02-04",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-02-06",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-02-07",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-02-08",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-02-09",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-02-28",,,,,"9.4",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-02-29",,,,,"5.6",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-03-01",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-03-02",,,,,"2.3",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-03-03",,,,,"37.1",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-03-04",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-03-05",,,,,"4.6",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-03-06",,,,,"9.9",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-03-07",,,,,"25.9",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-03-08",,,,,"0.3",,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-03-09",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2024-03-10",,,,,"49.8",,,,,,,,,,,,,,,,,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","40.695085","-73.358045","5.2","2024-01-01",,,,,"0.3",,,,,,,,,,,,,,,,,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","40.695085","-73.358045","5.2","2024-01-02",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","40.695085","-73.358045","5.2","2024-01-03",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","40.695085","-73.358045","5.2","2024-01-04",,,,,"0.0",,,,,,,,,,,,,,,,,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","40.695085","-73.358045","5.2","2024-01-05",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","40.695085","-73.358045","5.2","2024-01-06",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","40.695085","-73.358045","5.2","2024-01-07",,,,,"20.8",,,,,,,,,,,,,,,,,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","40.695085","-73.358045","5.2","2024-01-08",,,,,"0.8",,,,,,,,,,,,,,,,,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","40.695085","-73.358045","5.2","2024-01-09",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","40.695085","-73.358045","5.2","2024-01-10",,,,,"61.2",,,,,,,,,,,,,,,,,,,
